Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-05-08 11:26:01,2018-05-08 11:27:19,1m - 18.376s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-05-08 11:26:01,2018-05-08 11:26:42,40.725s,PASSED
openBrowser,Firefox 56.0,,2018-05-08 11:26:02,2018-05-08 11:26:12,10.157s,PASSED
maximizeWindow,Firefox 56.0,,2018-05-08 11:26:12,2018-05-08 11:26:12,0.113s,PASSED
navigateToUrl,Firefox 56.0,,2018-05-08 11:26:12,2018-05-08 11:26:42,29.889s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-08 11:26:42,2018-05-08 11:26:42,0.061s,PASSED
click,Firefox 56.0,,2018-05-08 11:26:42,2018-05-08 11:26:42,0.259s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-05-08 11:26:42,2018-05-08 11:26:47,5.005s,PASSED
click,Firefox 56.0,,2018-05-08 11:26:42,2018-05-08 11:26:44,1.801s,PASSED
setText,Firefox 56.0,,2018-05-08 11:26:44,2018-05-08 11:26:47,2.440s,PASSED
setText,Firefox 56.0,,2018-05-08 11:26:47,2018-05-08 11:26:47,0.388s,PASSED
click,Firefox 56.0,,2018-05-08 11:26:47,2018-05-08 11:26:47,0.241s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-08 11:26:47,2018-05-08 11:26:47,0.019s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-05-08 11:26:47,2018-05-08 11:26:47,0.240s,PASSED
click,Firefox 56.0,,2018-05-08 11:26:47,2018-05-08 11:26:47,0.166s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-05-08 11:26:47,2018-05-08 11:26:49,1.636s,PASSED
click,Firefox 56.0,,2018-05-08 11:26:48,2018-05-08 11:26:49,1.572s,PASSED
,,,,,,
Test Cases/Select Municiplality from Start page,Firefox 56.0,,2018-05-08 11:26:49,2018-05-08 11:26:49,0.279s,PASSED
click,Firefox 56.0,,2018-05-08 11:26:49,2018-05-08 11:26:49,0.198s,PASSED
,,,,,,
Test Cases/Select House From House Listing Page - HB,Firefox 56.0,,2018-05-08 11:26:49,2018-05-08 11:27:10,20.613s,PASSED
click,Firefox 56.0,,2018-05-08 11:26:49,2018-05-08 11:27:10,20.528s,PASSED
,,,,,,
Test Cases/Make Changes in Configuration - Customer,Firefox 56.0,,2018-05-08 11:27:10,2018-05-08 11:27:13,2.561s,PASSED
click,Firefox 56.0,,2018-05-08 11:27:10,2018-05-08 11:27:10,0.280s,PASSED
click,Firefox 56.0,,2018-05-08 11:27:10,2018-05-08 11:27:12,2.033s,PASSED
click,Firefox 56.0,,2018-05-08 11:27:12,2018-05-08 11:27:13,0.190s,PASSED
,,,,,,
Test Cases/Save Configuration,Firefox 56.0,,2018-05-08 11:27:13,2018-05-08 11:27:19,6.958s,PASSED
click,Firefox 56.0,,2018-05-08 11:27:13,2018-05-08 11:27:19,6.832s,PASSED
